Date,Engine Hours (Hrs),Idle Hours (Hrs),Fuel Consumption (Litres),Capacity (Litres),Operational Intensity (%),Active Time (%),Capacity Utilization (%),Active Equipment (#)
"2025-04-10T18:00:00Z","18.85","4.79","1588.17","3150.00","50.42","89.79","56.15","21.00"
"2025-04-10T17:00:00Z","20.55","6.05","1696.20","3450.00","49.17","89.36","55.02","23.00"
"2025-04-10T16:00:00Z","21.50","6.21","1752.59","3450.00","50.80","93.48","54.34","23.00"
"2025-04-10T15:00:00Z","21.80","4.52","1867.19","3450.00","54.12","94.77","57.11","23.00"
"2025-04-10T14:00:00Z","22.35","8.15","1413.78","3450.00","40.98","97.18","42.17","23.00"
"2025-04-10T13:00:00Z","22.00","13.34","921.67","3300.00","27.93","100.00","27.93","22.00"
"2025-04-10T12:00:00Z","21.31","9.38","1190.24","3450.00","34.50","92.64","37.24","23.00"
"2025-04-10T11:00:00Z","22.70","10.42","1238.32","3450.00","35.89","98.69","36.37","23.00"
"2025-04-10T10:00:00Z","23.00","8.49","1485.57","3450.00","43.06","100.00","43.06","23.00"
"2025-04-10T09:00:00Z","22.10","7.05","1495.13","3450.00","43.34","96.08","45.10","23.00"
"2025-04-10T08:00:00Z","20.75","8.79","1244.84","3300.00","37.72","94.30","40.00","22.00"
"2025-04-10T07:00:00Z","19.65","7.03","1384.50","3150.00","43.95","93.57","46.97","21.00"
"2025-04-10T06:00:00Z","20.05","7.07","1395.35","3000.00","46.51","100.25","46.40","20.00"
"2025-04-10T05:00:00Z","20.10","7.40","1373.33","3300.00","41.62","91.38","45.54","22.00"
"2025-04-10T04:00:00Z","19.20","5.99","1401.46","3150.00","44.49","96.01","46.34","20.00"
"2025-04-10T03:00:00Z","20.10","5.92","1600.20","3150.00","50.80","95.70","53.08","21.00"
"2025-04-10T02:00:00Z","20.05","6.63","1473.21","3000.00","49.11","100.25","48.98","20.00"
"2025-04-10T01:00:00Z","20.00","12.23","971.48","3000.00","32.38","100.00","32.38","20.00"
"2025-04-10T00:00:00Z","20.00","7.55","1406.35","3000.00","46.88","100.00","46.88","20.00"
"2025-04-09T23:00:00Z","21.00","5.84","1711.32","3450.00","49.60","91.31","54.32","23.00"
"2025-04-09T22:00:00Z","21.05","6.77","1598.57","3450.00","46.34","91.52","50.63","23.00"
"2025-04-09T21:00:00Z","21.55","8.70","1486.80","3450.00","43.10","93.71","45.99","23.00"
"2025-04-09T20:00:00Z","21.40","5.09","1923.15","3300.00","58.28","97.28","59.90","22.00"
"2025-04-09T19:00:00Z","22.40","6.73","1756.92","3450.00","50.93","97.40","52.29","23.00"
"2025-04-09T18:00:00Z","21.99","4.75","1992.85","3450.00","57.76","95.63","60.40","23.00"
